厂商,车型,年款,配置名称,官方指导价(万),特色功能,功能内容
奇瑞汽车,捷途旅行者,2025款,2.0TD 四驱 星月女神,18.39,轮胎包1,255/55R20 HT胎+全尺寸备胎，无小书包备胎罩 ○选配2500元
奇瑞汽车,捷途旅行者,2023款,2.0TD 四驱 穿越,15.99,轮胎包1,255/55R20 HT胎+全尺寸备胎，无小书包备胎罩 ○选配2500元
奇瑞汽车,捷途旅行者,2023款,2.0TD 四驱 穿越PRO,16.99,轮胎包1,255/55R20 HT胎+全尺寸备胎，无小书包备胎罩 ○选配2500元
奇瑞汽车,捷途旅行者,2023款,2.0TD 四驱 穿越PRO+,17.99,轮胎包1,255/55R20 HT胎+全尺寸备胎，无小书包备胎罩 ○选配2500元
长安启源,长安启源A06,2026款,510Max,11.99,多维立体驾驶辅助灯包(5个，车顶1+后视镜2+后尾灯2),●标配
长安启源,长安启源A06,2026款,630Max,12.99,多维立体驾驶辅助灯包(5个，车顶1+后视镜2+后尾灯2),●标配
长安启源,长安启源A06,2026款,630舒享Ultra,13.99,多维立体驾驶辅助灯包(5个，车顶1+后视镜2+后尾灯2),●标配
长安启源,长安启源A06,2026款,240Max,11.99,多维立体驾驶辅助灯包(5个，车顶1+后视镜2+后尾灯2),●标配
长安启源,长安启源A06,2026款,510Max,11.99,多维立体驾驶辅助灯包(5个，车顶1+后视镜2+后尾灯2),●标配
长安启源,长安启源A06,2026款,630Max,12.99,多维立体驾驶辅助灯包(5个，车顶1+后视镜2+后尾灯2),●标配
长安启源,长安启源A06,2026款,630舒享Ultra,13.99,多维立体驾驶辅助灯包(5个，车顶1+后视镜2+后尾灯2),●标配
长安启源,长安启源A06,2026款,240Max,11.99,多维立体驾驶辅助灯包(5个，车顶1+后视镜2+后尾灯2),●标配
长安马自达,昂克赛拉,2025款,1.5L 手动质美版,8.99,云控选装包,远程开关锁、手机开关空调、非法开门报警、GPS定位、授权用车、车辆信息查询等 ○选配暂无价格
长安马自达,昂克赛拉,2025款,1.5L 自动质悦版,9.99,云控选装包,远程开关锁、手机开关空调、非法开门报警、GPS定位、授权用车、车辆信息查询等 ○选配暂无价格
长安马自达,昂克赛拉,2025款,2.0L 自动质擎版,9.99,云控选装包,远程开关锁、手机开关空调、非法开门报警、GPS定位、授权用车、车辆信息查询等 ○选配暂无价格
长安马自达,昂克赛拉,2025款,2.0L 自动质炫版,11.29,云控选装包,远程开关锁、手机开关空调、非法开门报警、GPS定位、授权用车、车辆信息查询等 ○选配暂无价格
长安马自达,昂克赛拉,2025款,2.0L 自动质雅版,11.59,云控选装包,远程开关锁、手机开关空调、非法开门报警、GPS定位、授权用车、车辆信息查询等 ○选配暂无价格
长安马自达,昂克赛拉,2025款,2.0L 自动质耀版,11.99,云控选装包,远程开关锁、手机开关空调、非法开门报警、GPS定位、授权用车、车辆信息查询等 ○选配暂无价格
长安马自达,昂克赛拉,2025款,2.0L 自动质臻版,12.29,云控选装包,远程开关锁、手机开关空调、非法开门报警、GPS定位、授权用车、车辆信息查询等 ○选配暂无价格
长安马自达,昂克赛拉,2025款,2.0L 自动质尊版,14.19,云控选装包,远程开关锁、手机开关空调、非法开门报警、GPS定位、授权用车、车辆信息查询等 ○选配暂无价格
长安启源,长安启源A06,2026款,630舒享Ultra,13.99,20扬NEVO Sound天枢源声音响系统(7.1.4全景声),●标配
长安启源,长安启源A06,2026款,630激光Ultra,13.99,20扬NEVO Sound天枢源声音响系统(7.1.4全景声),●标配
长安启源,长安启源A06,2026款,630激光Ultra+,14.99,20扬NEVO Sound天枢源声音响系统(7.1.4全景声),●标配
长安启源,长安启源A06,2026款,240激光Ultra,12.99,20扬NEVO Sound天枢源声音响系统(7.1.4全景声),●标配
长安启源,长安启源A06,2026款,630舒享Ultra,13.99,20扬NEVO Sound天枢源声音响系统(7.1.4全景声),●标配
长安启源,长安启源A06,2026款,630激光Ultra,13.99,20扬NEVO Sound天枢源声音响系统(7.1.4全景声),●标配
长安启源,长安启源A06,2026款,630激光Ultra+,14.99,20扬NEVO Sound天枢源声音响系统(7.1.4全景声),●标配
长安启源,长安启源A06,2026款,240激光Ultra,12.99,20扬NEVO Sound天枢源声音响系统(7.1.4全景声),●标配
长安马自达,昂克赛拉,2025款,2.0L 自动质雅版,11.59,黑曜包,亮黑运动轮毂、亮黑后视镜、 勃艮第红真皮座椅（精致红色缝线） ○选配1000元
长安马自达,昂克赛拉,2025款,2.0L 自动质耀版,11.99,黑曜包,亮黑运动轮毂、亮黑后视镜、 勃艮第红真皮座椅（精致红色缝线） ○选配1000元
长安马自达,昂克赛拉,2025款,2.0L 自动质臻版,12.29,黑曜包,亮黑运动轮毂、亮黑后视镜、 勃艮第红真皮座椅（精致红色缝线） ○选配1000元
长安马自达,昂克赛拉,2025款,2.0L 自动质尊版,14.19,黑曜包,亮黑运动轮毂、亮黑后视镜、 勃艮第红真皮座椅（精致红色缝线） ○选配1000元
长安马自达,昂克赛拉,2023款,2.0L 自动质雅版,11.59,黑曜包,亮黑运动轮毂、亮黑后视镜、 勃艮第红真皮座椅（精致红色缝线） ○选配1000元
长安马自达,昂克赛拉,2023款,2.0L 自动质耀版,11.99,黑曜包,亮黑运动轮毂、亮黑后视镜、 勃艮第红真皮座椅（精致红色缝线） ○选配1000元
长安马自达,昂克赛拉,2023款,2.0L 自动质臻版,12.29,黑曜包,亮黑运动轮毂、亮黑后视镜、 勃艮第红真皮座椅（精致红色缝线） ○选配1000元
长安马自达,昂克赛拉,2023款,2.0L 自动质尊版,14.19,黑曜包,亮黑运动轮毂、亮黑后视镜、 勃艮第红真皮座椅（精致红色缝线） ○选配1000元
上汽通用五菱,五菱宏光MINIEV,2022款,马卡龙时尚款 三元锂,4.38,马卡龙夹心选装包,马卡龙定制颜色内饰、仿皮座椅 ○选配5000元
上汽通用五菱,五菱宏光MINIEV,2022款,马卡龙时尚款 磷酸铁锂,4.38,马卡龙夹心选装包,马卡龙定制颜色内饰、仿皮座椅 ○选配5000元
上汽通用五菱,五菱宏光MINIEV,2022款,马卡龙臻享款 三元锂,4.98,马卡龙夹心选装包,马卡龙定制颜色内饰、仿皮座椅 ○选配5000元
上汽通用五菱,五菱宏光MINIEV,2022款,马卡龙臻享款 磷酸铁锂,4.98,马卡龙夹心选装包,马卡龙定制颜色内饰、仿皮座椅 ○选配5000元
上汽通用五菱,五菱宏光MINIEV,2022款,马卡龙缤纷款 三元锂,4.68,马卡龙夹心选装包,马卡龙定制颜色内饰、仿皮座椅 ○选配5000元
上汽通用五菱,五菱宏光MINIEV,2022款,马卡龙缤纷款 磷酸铁锂,4.68,马卡龙夹心选装包,马卡龙定制颜色内饰、仿皮座椅 ○选配5000元
上汽通用五菱,五菱宏光MINIEV,2022款,马卡龙绘色款 三元锂,5.28,马卡龙夹心选装包,马卡龙定制颜色内饰、仿皮座椅 ○选配5000元
上汽通用五菱,五菱宏光MINIEV,2022款,马卡龙绘色款 磷酸铁锂,5.28,马卡龙夹心选装包,马卡龙定制颜色内饰、仿皮座椅 ○选配5000元
北京奔驰,奔驰C级,2026款,C 260 L 运动轿车特别版,35.68,豪华环境氛围灯,●标配
北京奔驰,奔驰C级,2026款,C 260 L 轿车,36.03,豪华环境氛围灯,●标配
北京奔驰,奔驰C级,2026款,C 260 L 运动轿车,36.03,豪华环境氛围灯,●标配
北京奔驰,奔驰C级,2026款,C 260 L 皓夜运动轿车,38.41,豪华环境氛围灯,●标配
北京奔驰,奔驰C级,2025款,改款 C 260 L,35.68,豪华环境氛围灯,●标配
北京奔驰,奔驰C级,2025款,改款 C 260 L 运动版,35.68,豪华环境氛围灯,●标配
北京奔驰,奔驰C级,2025款,改款 C 260 L 运动版 4MATIC,37.58,豪华环境氛围灯,●标配
北京奔驰,奔驰C级,2025款,改款 C 260 L 皓夜运动版,38.06,豪华环境氛围灯,●标配
上汽集团,MG4,2026款,437 自由版,8.38,防晒玻璃+隐私玻璃,前风挡双层镀银防晒玻璃、前排侧窗UV-IR涂层防晒玻璃、后排隐私玻璃 ●标配
上汽集团,MG4,2026款,530 智趣版,9.68,防晒玻璃+隐私玻璃,前风挡双层镀银防晒玻璃、前排侧窗UV-IR涂层防晒玻璃、后排隐私玻璃 ●标配
上汽集团,MG4,2026款,半固态安芯版,10.28,防晒玻璃+隐私玻璃,前风挡双层镀银防晒玻璃、前排侧窗UV-IR涂层防晒玻璃、后排隐私玻璃 ●标配
上汽集团,MG4,2026款,437 随心版,6.88,防晒玻璃+隐私玻璃,
上汽集团,MG4,2026款,437 从容版,7.68,防晒玻璃+隐私玻璃,
上汽集团,MG4,2026款,437 自由版,8.38,防晒玻璃+隐私玻璃,前风挡双层镀银防晒玻璃、前排侧窗UV-IR涂层防晒玻璃、后排隐私玻璃 ●标配
上汽集团,MG4,2026款,530 智趣版,9.68,防晒玻璃+隐私玻璃,前风挡双层镀银防晒玻璃、前排侧窗UV-IR涂层防晒玻璃、后排隐私玻璃 ●标配
上汽集团,MG4,2026款,半固态安芯版,10.28,防晒玻璃+隐私玻璃,前风挡双层镀银防晒玻璃、前排侧窗UV-IR涂层防晒玻璃、后排隐私玻璃 ●标配
深蓝汽车,深蓝S07,2026款,230Ultra 华为乾崑ADS SE版,16.69,悦享健康包,车载智能冷暖箱、纳米水离子负氧空调 ○选配1999元
深蓝汽车,深蓝S07,2026款,300Ultra 华为乾崑ADS SE版,17.39,悦享健康包,车载智能冷暖箱、纳米水离子负氧空调 ○选配1999元
深蓝汽车,深蓝S07,2026款,550Ultra 华为乾崑ADS SE版,16.69,悦享健康包,车载智能冷暖箱、纳米水离子负氧空调 ○选配1999元
深蓝汽车,深蓝S07,2026款,630Ultra 华为乾崑ADS SE版,17.49,悦享健康包,车载智能冷暖箱、纳米水离子负氧空调 ○选配1999元
深蓝汽车,深蓝S07,2026款,230Ultra 华为乾崑ADS SE版,16.69,悦享健康包,车载智能冷暖箱、纳米水离子负氧空调 ○选配1999元
深蓝汽车,深蓝S07,2026款,300Ultra 华为乾崑ADS SE版,17.39,悦享健康包,车载智能冷暖箱、纳米水离子负氧空调 ○选配1999元
深蓝汽车,深蓝S07,2026款,550Ultra 华为乾崑ADS SE版,16.69,悦享健康包,车载智能冷暖箱、纳米水离子负氧空调 ○选配1999元
深蓝汽车,深蓝S07,2026款,630Ultra 华为乾崑ADS SE版,17.49,悦享健康包,车载智能冷暖箱、纳米水离子负氧空调 ○选配1999元
深蓝汽车,深蓝S07,2026款,230Ultra 华为乾崑ADS SE版,16.69,主驾舒享包,主驾16向零重力按摩座椅：6向基础座椅电动调节、4向电动腰托、4向电动腿托、2向电动零重力翻转、120°座椅零重力平躺、8点式背部按摩、石墨烯背部加热、座椅记忆/迎宾 ○选配5999元
深蓝汽车,深蓝S07,2026款,300Ultra 华为乾崑ADS SE版,17.39,主驾舒享包,主驾16向零重力按摩座椅：6向基础座椅电动调节、4向电动腰托、4向电动腿托、2向电动零重力翻转、120°座椅零重力平躺、8点式背部按摩、石墨烯背部加热、座椅记忆/迎宾 ○选配5999元
深蓝汽车,深蓝S07,2026款,550Ultra 华为乾崑ADS SE版,16.69,主驾舒享包,主驾16向零重力按摩座椅：6向基础座椅电动调节、4向电动腰托、4向电动腿托、2向电动零重力翻转、120°座椅零重力平躺、8点式背部按摩、石墨烯背部加热、座椅记忆/迎宾 ○选配5999元
深蓝汽车,深蓝S07,2026款,630Ultra 华为乾崑ADS SE版,17.49,主驾舒享包,主驾16向零重力按摩座椅：6向基础座椅电动调节、4向电动腰托、4向电动腿托、2向电动零重力翻转、120°座椅零重力平躺、8点式背部按摩、石墨烯背部加热、座椅记忆/迎宾 ○选配5999元
深蓝汽车,深蓝S07,2026款,230Ultra 华为乾崑ADS SE版,16.69,主驾舒享包,主驾16向零重力按摩座椅：6向基础座椅电动调节、4向电动腰托、4向电动腿托、2向电动零重力翻转、120°座椅零重力平躺、8点式背部按摩、石墨烯背部加热、座椅记忆/迎宾 ○选配5999元
深蓝汽车,深蓝S07,2026款,300Ultra 华为乾崑ADS SE版,17.39,主驾舒享包,主驾16向零重力按摩座椅：6向基础座椅电动调节、4向电动腰托、4向电动腿托、2向电动零重力翻转、120°座椅零重力平躺、8点式背部按摩、石墨烯背部加热、座椅记忆/迎宾 ○选配5999元
深蓝汽车,深蓝S07,2026款,550Ultra 华为乾崑ADS SE版,16.69,主驾舒享包,主驾16向零重力按摩座椅：6向基础座椅电动调节、4向电动腰托、4向电动腿托、2向电动零重力翻转、120°座椅零重力平躺、8点式背部按摩、石墨烯背部加热、座椅记忆/迎宾 ○选配5999元
深蓝汽车,深蓝S07,2026款,630Ultra 华为乾崑ADS SE版,17.49,主驾舒享包,主驾16向零重力按摩座椅：6向基础座椅电动调节、4向电动腰托、4向电动腿托、2向电动零重力翻转、120°座椅零重力平躺、8点式背部按摩、石墨烯背部加热、座椅记忆/迎宾 ○选配5999元
一汽丰田,丰田bZ3,2024款,精英PRO,16.98,先进智能套装,流星式前大灯/贯穿式LED日间行车灯/多色室内氛围灯/DMS驾驶员监控系统/前排、后排座椅加热/高端仿皮（透气）座椅/电动4向可调节前排乘客座椅/真皮方向盘带加热 ○选配7000元
一汽丰田,丰田bZ3,2024款,精英PRO,16.98,先进智能套装,流星式前大灯/贯穿式LED日间行车灯/多色室内氛围灯/DMS驾驶员监控系统/前排、后排座椅加热/高端仿皮（透气）座椅/电动4向可调节前排乘客座椅/真皮方向盘带加热 ○选配7000元
一汽丰田,丰田bZ3,2026款,智享家 JOY,10.98,先进智能套装,
一汽丰田,丰田bZ3,2026款,智享家 PRO,12.98,先进智能套装,
一汽丰田,丰田bZ3,2026款,智享家 PRO+,13.98,先进智能套装,
一汽丰田,丰田bZ3,2026款,智享家 MAX,15.98,先进智能套装,
一汽丰田,丰田bZ3,2024款,精英PRO,16.98,先进智能套装,流星式前大灯/贯穿式LED日间行车灯/多色室内氛围灯/DMS驾驶员监控系统/前排、后排座椅加热/高端仿皮（透气）座椅/电动4向可调节前排乘客座椅/真皮方向盘带加热 ○选配7000元
一汽丰田,丰田bZ3,2024款,长续航PRO,18.98,先进智能套装,
一汽丰田,丰田bZ3,2024款,长续航Premium,19.98,先进智能套装,
领克,领克Z10,2024款,95kWh 766km后驱Max,20.68,舒享座舱套装,前排座椅电动4向腰托 前排座椅按摩 后排座椅按摩 后排座椅通风 后排座椅加热 方向盘加热 后排触屏式中央扶手 ○选配6000元
领克,领克Z10,2024款,95kWh 806km后驱智驾Max,22.88,舒享座舱套装,前排座椅电动4向腰托 前排座椅按摩 后排座椅按摩 后排座椅通风 后排座椅加热 方向盘加热 后排触屏式中央扶手 ○选配6000元
领克,领克Z10,2025款,95kWh 702km四驱Halo,22.98,舒享座舱套装,
领克,领克Z10,2024款,71kWh 602km后驱Pro,18.68,舒享座舱套装,
领克,领克Z10,2024款,95kWh 766km后驱Max,20.68,舒享座舱套装,前排座椅电动4向腰托 前排座椅按摩 后排座椅按摩 后排座椅通风 后排座椅加热 方向盘加热 后排触屏式中央扶手 ○选配6000元
领克,领克Z10,2024款,STARBUFF 95kWh 766km后驱,21.68,舒享座舱套装,
领克,领克Z10,2024款,95kWh 806km后驱智驾Max,22.88,舒享座舱套装,前排座椅电动4向腰托 前排座椅按摩 后排座椅按摩 后排座椅通风 后排座椅加热 方向盘加热 后排触屏式中央扶手 ○选配6000元
领克,领克Z10,2024款,95kWh 702km四驱智驾Ultra,26.28,舒享座舱套装,
领克,领克Z10,2024款,STARBUFF 95kWh 680km四驱智驾,28.28,舒享座舱套装,
智己汽车,智己LS7,2024款,Max Elite 后驱版,33.98,YAT巡航型半幅方向盘,○选配2000元
智己汽车,智己LS7,2024款,Max Lux 后驱版,35.98,YAT巡航型半幅方向盘,○选配2000元
智己汽车,智己LS7,2023款,Urban Fit 后驱版,28.98,YAT巡航型半幅方向盘,○选配2000元
智己汽车,智己LS7,2023款,Urban Fit Pro 后驱版,30.98,YAT巡航型半幅方向盘,○选配2000元
智己汽车,智己LS7,2023款,Elite后驱版,32.98,YAT巡航型半幅方向盘,○选配2000元
智己汽车,智己LS7,2023款,Elite四驱版,34.98,YAT巡航型半幅方向盘,○选配2000元
智己汽车,智己LS7,2023款,Lux后驱版,37.98,YAT巡航型半幅方向盘,○选配2000元
智己汽车,智己LS7,2023款,Lux四驱版,39.98,YAT巡航型半幅方向盘,○选配2000元
